property_id,address,suburb,postcode,state,property_type,bedrooms,bathrooms,parking,land_size_sqm,price,sale_date,suburb_median_price_index,cash_rate_at_sale,is_seed_data,suburb_mean_price
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,340000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,367000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,220000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,310000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,510000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,500000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,220000.00
971af7fd-f6b5-4346-b27a-c033bc574753,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,295000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,295000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,340000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,382199.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,367000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,400000.00
46a24a1d-6f4d-42d3-aace-d91fff301fd3,4/127 Hanley Street,Gundagai,2722,NSW,house,2,1,2,230.00,220000.00,2025-03-20,,4.3500,f,255000.00
